"code","billable","short_desc","long_desc","three_digit","major","sub_chapter","chapter"
"001",FALSE,"Cholera","Cholera","001","Cholera","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0010",TRUE,"Cholera d/t vib cholerae","Cholera due to vibrio cholerae","001","Cholera","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0011",TRUE,"Cholera d/t vib el tor","Cholera due to vibrio cholerae el tor","001","Cholera","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0019",TRUE,"Cholera NOS","Cholera, unspecified","001","Cholera","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"002",FALSE,"Typhoid and paratyphoid fevers","Typhoid and paratyphoid fevers","002","Typhoid and paratyphoid fevers","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0020",TRUE,"Typhoid fever","Typhoid fever","002","Typhoid and paratyphoid fevers","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0021",TRUE,"Paratyphoid fever a","Paratyphoid fever A","002","Typhoid and paratyphoid fevers","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0022",TRUE,"Paratyphoid fever b","Paratyphoid fever B","002","Typhoid and paratyphoid fevers","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0023",TRUE,"Paratyphoid fever c","Paratyphoid fever C","002","Typhoid and paratyphoid fevers","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0029",TRUE,"Paratyphoid fever NOS","Paratyphoid fever, unspecified","002","Typhoid and paratyphoid fevers","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"003",FALSE,"Other salmonella infections","Other salmonella infections","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0030",TRUE,"Salmonella enteritis","Salmonella gastroenteritis","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0031",TRUE,"Salmonella septicemia","Salmonella septicemia","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
"0032",FALSE,"Localized salmonella infections","Localized salmonella infections","003","Other salmonella infections","Intestinal Infectious Diseases","Infectious And Parasitic Diseases"
